Date,day,S&P Closing Price,DOW Closing Price,MACD,MACD Signal,MACD Hist,VIX Open
3/8/2016,3/30/2016,2063.95,17716.66,38.6816,44.1137,-5.4321,13.69
3/9/2016,3/31/2016,2059.74,17685.09,37.6016,42.8113,-5.2097,13.73
3/10/2016,4/1/2016,2072.78,17792.75,37.3671,41.7225,-4.3553,15.23
3/13/2016,4/4/2016,2066.13,17737,36.2271,40.6234,-4.3963,13.88
3/14/2016,4/5/2016,2045.17,17603.32,33.2491,39.1485,-5.8994,15.39
3/15/2016,4/6/2016,2066.66,17716.05,32.2513,37.7691,-5.5178,15.61
3/16/2016,4/7/2016,2041.91,17541.96,29.1276,36.0408,-6.9132,15.14
3/17/2016,4/8/2016,2047.6,17576.96,26.8022,34.1931,-7.3908,15.34
3/20/2016,4/11/2016,2041.99,17556.41,24.2274,32.1999,-7.9725,15.34
3/21/2016,4/12/2016,2061.72,17721.25,23.5079,30.4615,-6.9536,15.98
3/22/2016,4/13/2016,2082.42,17908.28,24.3276,29.2347,-4.9072,14.49
3/23/2016,4/14/2016,2082.78,17926.43,24.7213,28.3321,-3.6108,13.9
3/24/2016,4/15/2016,2080.73,17897.46,24.5844,27.5825,-2.9981,13.77
3/27/2016,4/18/2016,2094.34,18004.16,25.2828,27.1226,-1.8398,14.87
3/28/2016,4/19/2016,2100.8,18053.6,26.0571,26.9095,-0.8524,13.18
3/29/2016,4/20/2016,2102.4,18096.27,26.4945,26.8265,-0.332,13.39
3/30/2016,4/21/2016,2091.48,17982.52,25.6641,26.594,-0.9299,13.2
3/31/2016,4/22/2016,2091.58,18003.75,24.729,26.221,-1.492,13.7
4/3/2016,4/25/2016,2087.79,17977.24,23.4123,25.6593,-2.247,14.07
4/4/2016,4/26/2016,2091.7,17990.32,22.4257,25.0126,-2.5868,14.01
4/5/2016,4/27/2016,2095.15,18041.55,21.6724,24.3445,-2.6721,14.15
4/6/2016,4/28/2016,2075.81,17830.76,19.2925,23.3341,-4.0416,14.53
4/7/2016,4/29/2016,2065.3,17773.64,16.3696,21.9412,-5.5716,15.21
4/10/2016,5/2/2016,2081.43,17891.16,15.1797,20.5889,-5.4092,16.33
4/11/2016,5/3/2016,2063.37,17750.91,12.6339,18.9979,-6.364,14.92
4/12/2016,5/4/2016,2051.12,17651.26,9.518,17.1019,-7.5839,15.47
4/13/2016,5/5/2016,2050.63,17660.71,6.9293,15.0674,-8.1381,15.54
4/14/2016,5/6/2016,2057.14,17740.63,5.3415,13.1222,-7.7808,16.2
4/17/2016,5/9/2016,2058.69,17705.91,4.1602,11.3298,-7.1696,15.2
4/18/2016,5/10/2016,2084.39,17928.35,5.2374,10.1113,-4.8739,13.98
4/19/2016,5/11/2016,2064.46,17711.12,4.4319,8.9754,-4.5436,13.92
4/20/2016,5/12/2016,2064.11,17720.5,3.7223,7.9248,-4.2025,14.55
4/21/2016,5/13/2016,2046.61,17535.32,1.728,6.6854,-4.9575,15.15
4/24/2016,5/16/2016,2066.66,17710.71,1.7452,5.6974,-3.9522,15.72
4/25/2016,5/17/2016,2047.21,17529.98,0.1872,4.5953,-4.4082,14.57
4/26/2016,5/18/2016,2047.63,17526.62,-1.0021,3.4759,-4.4779,15.72
4/27/2016,5/19/2016,2040.04,17435.4,-2.5279,2.2751,-4.803,16.37
4/28/2016,5/20/2016,2052.32,17500.94,-2.7149,1.2771,-3.992,16.13
5/1/2016,5/23/2016,2048.04,17492.93,-3.1719,0.3873,-3.5592,16.33
5/2/2016,5/24/2016,2076.06,17706.05,-1.2586,0.0581,-1.3167,16.03
5/3/2016,5/25/2016,2090.54,17851.51,1.4099,0.3285,1.0814,14.19
5/4/2016,5/26/2016,2090.1,17828.29,3.4494,0.9527,2.4967,13.8
5/8/2016,5/27/2016,2099.06,17873.22,5.7227,1.9067,3.8161,13.49
5/9/2016,5/31/2016,2096.96,17787.2,7.2711,2.9796,4.2916,13.94
5/10/2016,6/1/2016,2099.33,17789.67,8.5904,4.1017,4.4887,14.45
5/11/2016,6/2/2016,2105.26,17838.56,9.9992,5.2812,4.718,14.42
5/12/2016,6/3/2016,2099.13,17807.06,10.5,6.325,4.1751,13.78
5/15/2016,6/6/2016,2109.41,17920.33,11.5928,7.3786,4.2143,13.84
5/16/2016,6/7/2016,2112.13,17938.28,12.5338,8.4096,4.1242,12.77
5/17/2016,6/8/2016,2119.12,18005.05,13.6859,9.4649,4.221,13.84
5/18/2016,6/9/2016,2115.48,17985.19,14.1422,10.4003,3.7418,14.01
5/19/2016,6/10/2016,2096.07,17865.34,12.7901,10.8783,1.9118,14.89
5/22/2016,6/13/2016,2079.06,17732.48,10.2281,10.7482,-0.5201,18.24
5/23/2016,6/14/2016,2075.32,17674.82,7.8059,10.1598,-2.3539,21.28
5/24/2016,6/15/2016,2071.5,17640.17,5.5145,9.2307,-3.7162,20.25
5/25/2016,6/16/2016,2077.99,17733.1,4.1742,8.2194,-4.0453,20.8
5/26/2016,6/17/2016,2071.22,17675.16,2.5364,7.0828,-4.5464,19.42
5/29/2016,6/20/2016,2083.25,17804.87,2.184,6.103,-3.9191,17.42
5/30/2016,6/21/2016,2088.9,17829.73,2.3337,5.3492,-3.0155,17.67
5/31/2016,6/22/2016,2085.45,17780.83,2.1492,4.7092,-2.56,18.26
6/1/2016,6/23/2016,2113.32,18011.07,4.2034,4.608,-0.4046,19.54
6/2/2016,6/24/2016,2037.41,17400.75,-0.2906,3.6283,-3.9189,26.06
6/5/2016,6/27/2016,2000.54,17140.24,-6.7494,1.5528,-8.3022,24.38
6/6/2016,6/28/2016,2036.09,17409.72,-8.8969,-0.5372,-8.3597,21.76
6/7/2016,6/29/2016,2070.77,17694.68,-7.7115,-1.972,-5.7395,18.12
6/8/2016,6/30/2016,2098.86,17929.99,-4.4542,-2.4685,-1.9857,16.91
6/9/2016,7/1/2016,2102.95,17949.37,-1.5251,-2.2798,0.7547,15.59
6/12/2016,7/5/2016,2088.55,17840.62,-0.3615,-1.8961,1.5346,16.05
6/13/2016,7/6/2016,2099.73,17918.62,1.4461,-1.2277,2.6738,15.87
6/14/2016,7/7/2016,2097.9,17895.88,2.6998,-0.4422,3.142,14.8
6/15/2016,7/8/2016,2129.9,18146.74,6.204,0.887,5.317,14.64
6/16/2016,7/11/2016,2137.16,18226.93,9.4579,2.6012,6.8567,13.25
6/19/2016,7/12/2016,2152.14,18347.67,13.0945,4.6999,8.3946,12.93
6/20/2016,7/13/2016,2152.43,18372.12,15.8176,6.9234,8.8941,13.32
6/21/2016,7/14/2016,2163.75,18506.41,18.6738,9.2735,9.4003,12.5
6/22/2016,7/15/2016,2161.74,18516.55,20.5384,11.5265,9.0119,13.12
6/23/2016,7/18/2016,2166.89,18533.05,22.1761,13.6564,8.5197,12.75
6/26/2016,7/19/2016,2163.78,18559.01,22.9583,15.5168,7.4416,12.53
6/27/2016,7/20/2016,2173.02,18595.03,24.0467,17.2228,6.8239,11.94
6/28/2016,7/21/2016,2165.17,18517.23,23.9991,18.578,5.4211,11.8
6/29/2016,7/22/2016,2175.03,18570.85,24.4749,19.7574,4.7175,12.8
6/30/2016,7/25/2016,2168.48,18493.06,24.0463,20.6152,3.4311,12.64
7/3/2016,7/26/2016,2169.18,18473.75,23.4922,21.1906,2.3017,12.88
7/4/2016,7/27/2016,2166.58,18472.17,22.583,21.4691,1.114,12.61
7/10/2016,7/28/2016,2170.06,18456.35,21.891,21.5535,0.3375,12.51
7/11/2016,7/29/2016,2173.6,18432.24,21.3817,21.5191,-0.1374,12.85
7/12/2016,8/1/2016,2170.84,18404.51,20.5188,21.319,-0.8002,11.89
7/13/2016,8/2/2016,2157.03,18313.77,18.5073,20.7567,-2.2494,12.39
7/14/2016,8/3/2016,2163.79,18355,17.2597,20.0573,-2.7976,13.53
7/17/2016,8/4/2016,2164.25,18352.05,16.1222,19.2703,-3.1481,12.73
7/18/2016,8/5/2016,2182.87,18543.53,16.5326,18.7227,-2.1901,12.08
7/19/2016,8/8/2016,2180.89,18529.29,16.5078,18.2798,-1.7719,11.66
7/20/2016,8/9/2016,2181.74,18533.05,16.3681,17.8974,-1.5293,11.4
7/21/2016,8/10/2016,2175.49,18495.66,15.5735,17.4326,-1.8591,11.55
7/24/2016,8/11/2016,2185.79,18613.52,15.5951,17.0651,-1.47,11.93
7/25/2016,8/12/2016,2184.05,18576.47,15.2956,16.7112,-1.4157,11.61
7/26/2016,8/15/2016,2190.15,18636.05,15.3732,16.4436,-1.0704,11.81
7/27/2016,8/16/2016,2178.15,18552.02,14.3015,16.0152,-1.7137,12.04
7/28/2016,8/17/2016,2182.22,18573.94,13.6236,15.5369,-1.9133,12.57
7/31/2016,8/18/2016,2187.02,18597.7,13.3201,15.0935,-1.7734,12.2
8/1/2016,8/19/2016,2183.87,18552.57,12.6792,14.6107,-1.9314,11.67
8/2/2016,8/22/2016,2182.64,18529.42,11.9345,14.0754,-2.1409,12.53
8/3/2016,8/23/2016,2186.9,18547.3,11.5549,13.5713,-2.0164,12.15
8/4/2016,8/24/2016,2175.44,18481.48,10.2116,12.8994,-2.6878,12.7
8/7/2016,8/25/2016,2172.47,18448.41,8.8058,12.0807,-3.2748,13.62
8/8/2016,8/26/2016,2169.04,18395.4,7.3305,11.1306,-3.8001,13.54
8/9/2016,8/29/2016,2180.38,18502.99,6.9957,10.3036,-3.308,14.09
8/10/2016,8/30/2016,2176.12,18454.3,6.3138,9.5057,-3.1919,12.94
8/11/2016,8/31/2016,2170.95,18400.88,5.2952,8.6636,-3.3684,13.14
8/14/2016,9/1/2016,2170.86,18419.3,4.4296,7.8168,-3.3872,13.07
8/15/2016,9/2/2016,2179.98,18491.96,4.4285,7.1391,-2.7106,13.47
8/16/2016,9/6/2016,2186.48,18538.12,4.8957,6.6905,-1.7947,12.42
8/17/2016,9/7/2016,2186.16,18526.14,5.1804,6.3884,-1.208,11.89
8/18/2016,9/8/2016,2181.3,18479.91,4.9567,6.1021,-1.1454,11.74
8/21/2016,9/9/2016,2127.81,18085.45,0.458,4.9733,-4.5153,12.52
8/22/2016,9/12/2016,2159.04,18325.07,-0.5806,3.8625,-4.4431,20.13
8/23/2016,9/13/2016,2127.02,18066.75,-3.942,2.3016,-6.2436,15.98
8/24/2016,9/14/2016,2125.77,18034.77,-6.6303,0.5152,-7.1456,17.63
8/25/2016,9/15/2016,2147.26,18212.48,-6.9467,-0.9772,-5.9696,17.97
8/28/2016,9/16/2016,2139.16,18123.8,-7.7616,-2.3341,-5.4276,16.41
8/29/2016,9/19/2016,2139.12,18120.17,-8.3148,-3.5302,-4.7846,15.14
8/30/2016,9/20/2016,2139.76,18129.96,-8.6024,-4.5447,-4.0578,14.98
8/31/2016,9/21/2016,2163.12,18293.7,-6.8662,-5.009,-1.8573,15.07
9/1/2016,9/22/2016,2177.18,18392.46,-4.3061,-4.8684,0.5623,13.39
9/4/2016,9/23/2016,2164.69,18261.45,-3.2476,-4.5442,1.2966,12
9/5/2016,9/26/2016,2146.1,18094.83,-3.8643,-4.4082,0.544,13.26
9/6/2016,9/27/2016,2159.93,18228.3,-3.2001,-4.1666,0.9665,13.36
9/7/2016,9/28/2016,2171.37,18339.24,-1.7307,-3.6794,1.9487,12.9
9/8/2016,9/29/2016,2151.13,18143.45,-2.1743,-3.3784,1.2041,12.53
9/15/2016,9/30/2016,2168.27,18308.15,-1.1298,-2.9287,1.7989,14.91
9/18/2016,10/3/2016,2161.2,18253.85,-0.8626,-2.5155,1.6529,13.75
9/19/2016,10/4/2016,2150.49,18168.45,-1.4977,-2.3119,0.8142,13.4
9/20/2016,10/5/2016,2159.73,18281.03,-1.2412,-2.0978,0.8566,13.56
9/21/2016,10/6/2016,2160.77,18268.5,-0.9431,-1.8668,0.9237,13.11
9/22/2016,10/7/2016,2153.74,18240.49,-1.2596,-1.7454,0.4858,13.52
9/25/2016,10/10/2016,2163.66,18329.04,-0.7019,-1.5367,0.8348,14.19
9/26/2016,10/11/2016,2136.73,18128.66,-2.4052,-1.7104,-0.6948,13.71
9/27/2016,10/12/2016,2139.18,18144.2,-3.5168,-2.0717,-1.4451,15.53
9/28/2016,10/13/2016,2132.55,18098.94,-4.8766,-2.6327,-2.2439,16.88
9/29/2016,10/14/2016,2132.98,18138.38,-5.852,-3.2765,-2.5755,16.49
10/3/2016,10/17/2016,2126.5,18086.4,-7.0665,-4.0345,-3.032,17.01
10/4/2016,10/18/2016,2139.6,18161.94,-6.8925,-4.6061,-2.2864,15.82
10/5/2016,10/19/2016,2144.29,18202.62,-6.3035,-4.9456,-1.3579,15.45
10/6/2016,10/20/2016,2141.34,18162.35,-6.0055,-5.1576,-0.8479,14.43
10/9/2016,10/21/2016,2141.16,18145.71,-5.7179,-5.2696,-0.4483,14.04
10/10/2016,10/24/2016,2151.33,18223.03,-4.6162,-5.139,0.5228,13.19
10/11/2016,10/25/2016,2143.16,18169.27,-4.3522,-4.9816,0.6294,12.91
10/12/2016,10/26/2016,2139.43,18199.33,-4.3932,-4.8639,0.4707,13.66
10/13/2016,10/27/2016,2133.04,18169.68,-4.8851,-4.8682,-0.0169,14.37
10/16/2016,10/28/2016,2126.41,18161.19,-5.7437,-5.0433,-0.7004,15.67
10/17/2016,10/31/2016,2126.15,18142.42,-6.3716,-5.3089,-1.0627,16.31
10/18/2016,11/1/2016,2111.72,18037.1,-7.9421,-5.8356,-2.1066,16.54
10/19/2016,11/2/2016,2097.94,17959.64,-10.1813,-6.7047,-3.4766,19.09
10/20/2016,11/3/2016,2088.66,17930.67,-12.5599,-7.8758,-4.6842,19.85
10/23/2016,11/4/2016,2085.18,17888.28,-14.558,-9.2122,-5.3458,21.86
10/24/2016,11/7/2016,2131.52,18259.6,-12.2609,-9.8219,-2.4389,19.78
10/25/2016,11/8/2016,2139.56,18332.74,-9.6801,-9.7936,0.1135,18.92
10/26/2016,11/9/2016,2163.26,18589.69,-5.6571,-8.9663,3.3091,20.7
10/27/2016,11/10/2016,2167.48,18807.88,-2.1042,-7.5939,5.4897,14.01
10/30/2016,11/11/2016,2164.45,18847.66,0.4618,-5.9827,6.4445,14.83
10/31/2016,11/14/2016,2164.2,18868.69,2.4469,-4.2968,6.7437,14.69
11/1/2016,11/15/2016,2180.39,18923.06,5.2659,-2.3843,7.6501,14.16
11/2/2016,11/16/2016,2176.94,18868.14,7.1392,-0.4796,7.6188,13.51
11/3/2016,11/17/2016,2187.12,18903.82,9.3376,1.4839,7.8538,13.37
11/6/2016,11/18/2016,2181.9,18867.93,10.5372,3.2945,7.2427,13.56
11/7/2016,11/21/2016,2198.18,18956.69,12.6557,5.1668,7.4889,13.27
11/8/2016,11/22/2016,2202.94,19023.87,14.551,7.0436,7.5074,12.26
11/9/2016,11/23/2016,2204.72,19083.18,16.012,8.8373,7.1747,12.34
11/10/2016,11/25/2016,2213.35,19152.14,17.6627,10.6024,7.0603,12.52
11/13/2016,11/28/2016,2201.72,19097.9,17.8269,12.0473,5.7796,13.4
11/14/2016,11/29/2016,2204.66,19121.6,17.987,13.2352,4.7517,13.07
11/15/2016,11/30/2016,2198.81,19123.58,17.4407,14.0763,3.3644,12.6
11/16/2016,12/1/2016,2191.08,19191.93,16.1973,14.5005,1.6968,13.4
11/17/2016,12/2/2016,2191.95,19170.42,15.108,14.622,0.486,14.16
11/20/2016,12/5/2016,2204.71,19216.24,15.1002,14.7177,0.3826,13.75
11/21/2016,12/6/2016,2212.23,19251.78,15.522,14.8785,0.6435,12.19
11/22/2016,12/7/2016,2241.35,19549.62,17.9985,15.5025,2.496,11.59
11/23/2016,12/8/2016,2246.19,19614.81,20.1197,16.426,3.6938,12.1
11/24/2016,12/9/2016,2259.53,19756.85,22.6166,17.6641,4.9525,12.59
11/27/2016,12/12/2016,2256.96,19796.43,24.11,18.9533,5.1567,12.23
11/28/2016,12/13/2016,2271.72,19911.21,26.1828,20.3992,5.7836,12.46
11/29/2016,12/14/2016,2253.28,19792.53,26.0373,21.5268,4.5106,12.88
11/30/2016,12/15/2016,2262.03,19852.24,26.3247,22.4864,3.8383,13.07
12/4/2016,12/16/2016,2258.07,19843.41,25.9339,23.1759,2.7581,12.88
12/5/2016,12/19/2016,2262.53,19883.06,25.688,23.6783,2.0097,12.5
12/6/2016,12/20/2016,2270.76,19974.62,25.8591,24.1145,1.7447,11.65
12/7/2016,12/21/2016,2265.18,19941.96,25.2534,24.3423,0.9111,11.44
12/8/2016,12/22/2016,2260.96,19918.88,24.1544,24.3047,-0.1503,11.32
12/12/2016,12/23/2016,2263.79,19933.81,23.2438,24.0925,-0.8487,11.38
12/13/2016,12/27/2016,2268.88,19945.04,22.6716,23.8083,-1.1368,12.26
12/14/2016,12/28/2016,2249.92,19833.68,20.4524,23.1371,-2.6848,11.89
12/15/2016,12/29/2016,2249.26,19819.78,18.428,22.1953,-3.7673,13.15
12/18/2016,12/30/2016,2238.83,19762.6,15.7999,20.9162,-5.1163,13.2
12/19/2016,1/3/2017,2257.83,19881.76,15.0764,19.7483,-4.6718,14.07
12/20/2016,1/4/2017,2270.75,19942.16,15.3685,18.8723,-3.5038,12.78
12/21/2016,1/5/2017,2269,19899.29,15.2825,18.1543,-2.8718,11.96
12/22/2016,1/6/2017,2276.98,19963.8,15.6776,17.659,-1.9814,11.7
12/25/2016,1/9/2017,2268.9,19887.38,15.164,17.16,-1.996,11.71
12/26/2016,1/10/2017,2268.9,19855.53,14.5887,16.6457,-2.057,11.59
12/27/2016,1/11/2017,2275.32,19954.28,14.4839,16.2134,-1.7295,11.56
12/28/2016,1/12/2017,2270.44,19891,13.8474,15.7402,-1.8928,11.48
12/29/2016,1/13/2017,2274.64,19885.73,13.526,15.2973,-1.7713,11.45
1/2/2017,1/17/2017,2267.89,19826.77,12.5816,14.7542,-2.1726,12.2
1/3/2017,1/18/2017,2271.89,19804.72,12.0174,14.2068,-2.1895,11.79
1/4/2017,1/19/2017,2263.69,19732.4,10.7842,13.5223,-2.7381,12.58
1/5/2017,1/20/2017,2271.31,19827.25,10.303,12.8785,-2.5754,12.58
1/8/2017,1/23/2017,2265.2,19799.85,9.3212,12.167,-2.8458,12.3
1/9/2017,1/24/2017,2280.07,19912.71,9.632,11.66,-2.028,11.82
1/10/2017,1/25/2017,2298.37,20068.51,11.2255,11.5731,-0.3476,10.79
1/11/2017,1/26/2017,2296.68,20100.91,12.2113,11.7008,0.5105,10.61
1/12/2017,1/27/2017,2294.69,20093.78,12.6857,11.8977,0.788,10.57
1/15/2017,1/30/2017,2280.9,19971.13,11.8128,11.8807,-0.068,11.1
1/16/2017,1/31/2017,2278.87,19864.09,10.8323,11.6711,-0.8388,12.29
1/17/2017,2/1/2017,2279.55,19890.94,9.9949,11.3358,-1.3409,11.79
1/18/2017,2/2/2017,2280.85,19884.91,9.3287,10.9344,-1.6057,12.37
1/19/2017,2/3/2017,2297.42,20071.46,10.0222,10.7519,-0.7298,11.84
1/22/2017,2/6/2017,2292.56,20052.42,10.0636,10.6143,-0.5507,11.37
1/23/2017,2/7/2017,2293.08,20090.29,10.0229,10.496,-0.4731,11.39
1/24/2017,2/8/2017,2294.67,20054.34,10.0036,10.3975,-0.3939,11.19
1/25/2017,2/9/2017,2307.87,20172.4,10.9274,10.5035,0.4239,11.44
1/26/2017,2/10/2017,2316.1,20269.37,12.1833,10.8395,1.3438,10.85
1/29/2017,2/13/2017,2328.25,20412.16,13.9976,11.4711,2.5265,11.36
1/30/2017,2/14/2017,2337.58,20504.41,16.0038,12.3776,3.6262,11.17
1/31/2017,2/15/2017,2349.25,20611.86,18.3242,13.5669,4.7572,10.84
2/1/2017,2/16/2017,2347.22,20619.77,19.7714,14.8078,4.9636,12.02
2/2/2017,2/17/2017,2351.16,20624.05,20.9942,16.0451,4.9491,11.84
2/5/2017,2/21/2017,2365.38,20743,22.8474,17.4056,5.4418,12.05
2/6/2017,2/22/2017,2362.82,20775.6,23.8347,18.6914,5.1433,11.48
2/7/2017,2/23/2017,2363.81,20810.32,24.4156,19.8362,4.5794,11.66
2/8/2017,2/24/2017,2367.34,20821.76,24.8741,20.8438,4.0303,11.81
2/9/2017,2/27/2017,2369.75,20837.44,25.1421,21.7035,3.4386,11.78
2/12/2017,2/28/2017,2363.64,20812.24,24.5781,22.2784,2.2997,12.19
2/13/2017,3/1/2017,2395.96,21115.55,26.4344,23.1096,3.3248,12.31
2/14/2017,3/2/2017,2381.92,21002.97,26.4675,23.7812,2.6863,12.43
2/15/2017,3/3/2017,2383.12,21005.71,26.2876,24.2825,2.0051,11.96
2/16/2017,3/6/2017,2375.31,20954.34,25.224,24.4708,0.7532,11.59
2/19/2017,3/7/2017,2368.39,20924.76,23.5512,24.2869,-0.7356,11.27
2/20/2017,3/8/2017,2362.98,20855.73,21.5407,23.7376,-2.1969,11.49
2/21/2017,3/9/2017,2364.87,20858.19,19.8708,22.9643,-3.0935,11.75
2/22/2017,3/10/2017,2372.6,20902.98,18.9526,22.1619,-3.2093,11.97
2/23/2017,3/13/2017,2373.47,20881.48,18.0867,21.3469,-3.2602,12.16
2/26/2017,3/14/2017,2365.45,20837.37,16.5624,20.39,-3.8276,11.39
